area,source,size_m2,price_jod,price_per_m2,title
دابوق,bayut,210,180000,857,"Apartment with garden and terrace for sale in Dabouq, building area of 210 m, and garden of 220 m"
دابوق,bayut,300,370000,1233,"flat roof apartment for sale in the most prestigious areas of Dabouq, total building area 555m"
دابوق,bayut,216,125000,579,شقة للبيع فاخرة ذات اطلالة خلابة مطلة على دابوق وحدائق الحسين 216م سوبرديلوكس مميزة جدا
دابوق,bayut,270,290000,1074,روف مميز للبيع في دابوق مساحة البناء 270 م مساحة الترس 130 م
دابوق,bayut,370,320000,865,شقة طابقية للبيع في دابوق طابق ارضي جزء من قيلا مساحة البناء 370 م
دابوق,bayut,160,195000,1219,"Distinctive apartment for sale in the most beautiful areas of Dabouq, an area of ​​160 meters, suitable for investment with super deluxe finishes"
دابوق,bayut,230,205000,891,شقة طابق اول للبيع في اجمل مناطق دابوق مساحة 230 متر
دابوق,bayut,260,285000,1096,شقة طابق ارضي دوبليكس للبيع في اجمل مناطق دابوق مساحة 260 متر
دابوق,bayut,350,430000,1229,شقة طابق ارضي بتشطيبات فاخرة للبيع في اجمل مناطق دابوق مساحة 350 متر
دابوق,bayut,515,450000,874,دابوق شقة طابقية جديدة للبيع مع حديقة 4 نوم
دابوق,bayut,180,270000,1500,روف للبيع في دابوق مساحة البناء 160 م مساحة الترس 180 م
دابوق,bayut,350,600000,1714,شقة للبيع في دابوق طابق ارضي مساحة البناء 350 م
دابوق,bayut,485,750000,1546,شقة للبيع في دابوق دوبلكس مساحة البناء 485 م مساحة الحديقة 171 م
دابوق,bayut,330,225000,682,روف طابقي مع ترسات للبيع في دابوق، مساحة كلية 330 م
دابوق,bayut,325,180000,554,شقة مفروشة مع ترس للبيع في دابوق، مساحة بناء 325 م
دابوق,bayut,145,127000,876,شقة أرضية معلقة للبيع في دابوق بمساحة بناء 145 م
دابوق,bayut,245,190000,776,شقة مع ترس بتشطيبات مميزة للبيع في أجمل أحياء عمان - دابوق، مساحة بناء 245 م
دابوق,bayut,345,425000,1232,شقة ارضية طابقية بتصميم مميز - 4 غرف ماستر - للبيع في دابوق، مساحة بناء 345 م
دابوق,bayut,305,245000,803,شقة شبه ارضية طابقية حديثة البناء مع ترس لم تسكن للبيع في دابوق، مساحة بناء 305 م
دابوق,bayut,305,280000,918,شقة شبه ارضية طابقية حديثة البناء مع ترس لم تسكن للبيع في دابوق، مساحة بناء 305 م
دابوق,bayut,305,330000,1082,شقة طابقية حديثة البناء لم تسكن للبيع في دابوق، مساحة بناء 305 م
دابوق,bayut,305,360000,1180,شقة ارضية طابقية حديثة لم تسكن مع ترس للبيع في دابوق، مساحة بناء 305 م
دابوق,bayut,430,420000,977,شقة شبه ارضية طابقية مع ترس خارجي للبيع في دابوق، مساحة بناء 430 م
دابوق,bayut,408,330000,809,رووف طابقي فخم للبيع في دابوق مساحة 408 متر
دابوق,bayut,180,215000,1194,شقة فاخرة للبيع في أجمل مناطق دابوق، الحمارية بتشطيبات مميزة مساحة 180 متر
دابوق,bayut,180,250000,1389,روف للبيع في اجمل مناطق دابوق مساحة 180 متر مع تراس خارجي 170 متر
دابوق,bayut,355,360000,1014,شقة طابق تسوية اولى باطلالة بانورامية بتشطيبات فاخرة للبيع في اجمل مناطق دابوق مساحة 335
